Country;Year;Genre;Views
Italy;2023..1;Thriller;20900000
Italy;2023..1;Drama;17600000
Italy;2023..1;Comedy;16900000
Italy;2023..1;Comedy;11400000
Italy;2023..1;Comedy;8400000
Italy;2023..1;Fantasy;4900000
Italy;2023..1;Crime;4800000
Italy;2023..1;Fantasy;4700000
Italy;2023..1;Crime;4400000
Italy;2023..1;Comedy;4100000
Italy;2023..1;Thriller;3200000
Italy;2023..1;Drama;3000000
Italy;2023..1;Drama;2900000
Italy;2023..1;Drama;2800000
Italy;2023..1;Drama;2600000
Italy;2023..1;Drama;2500000
Italy;2023..1;Thriller;2500000
Italy;2023..1;Animation;2400000
Italy;2023..1;Horror;2200000
Italy;2023..1;Comedy;2200000
Italy;2023..1;War;2100000
Italy;2023..1;Thriller;2000000
Italy;2023..1;Comedy;2000000
Italy;2023..1;Comedy;1900000
Italy;2023..1;Comedy;1700000
Italy;2023..1;Animation;1600000
Italy;2023..1;Drama;1500000
Italy;2023..1;Crime;1500000
Italy;2023..1;Comedy;1500000
Italy;2023..1;Drama;1500000
Italy;2023..1;Drama;1400000
Italy;2023..1;Comedy;1400000
Italy;2023..1;Fantasy;1300000
Italy;2023..1;Horror;1300000
Italy;2023..1;Animation;1300000
Italy;2023..1;Fantasy;1300000
Italy;2023..1;Comedy;1200000
Italy;2023..1;Horror;1200000
Italy;2023..1;Comedy;1200000
Italy;2023..1;Animation;1100000
Italy;2023..1;Comedy;1100000
Italy;2023..1;Comedy;1000000
Italy;2023..1;Comedy;1000000
Italy;2023..1;Comedy;1000000
Italy;2023..1;Comedy;1000000
Italy;2023..1;Drama;1000000
Italy;2023..1;Documentary;1000000
Italy;2023..1;Crime;900000
Italy;2023..1;Comedy;900000
Italy;2023..1;Comedy;800000
Italy;2023.1;Comedy;800000
Italy;2023.2;Thriller;12200000
Italy;2023.2;Comedy;5900000
Italy;2023.2;Documentary;5900000
Italy;2023.2;Action;5300000
Italy;2023.2;Comedy;4300000
Italy;2023.2;Crime;4000000
Italy;2023.2;Fantasy;3800000
Italy;2023.2;Comedy;3500000
Italy;2023.2;Drama;3300000
Italy;2023.2;Crime;3200000
Italy;2023.2;Crime;3100000
Italy;2023.2;Fantasy;3100000
Italy;2023.2;Fantasy;3000000
Italy;2023.2;Comedy;2900000
Italy;2023.2;Drama;2800000
Italy;2023.2;Comedy;2800000
Italy;2023.2;Thriller;2600000
Italy;2023.2;Documentary;2500000
Italy;2023.2;Comedy;2200000
Italy;2023.2;Comedy;2200000
Italy;2023.2;Drama;2100000
Italy;2023.2;Drama;2000000
Italy;2023.2;Horror;1800000
Italy;2023.2;Comedy;1600000
Italy;2023.2;Drama;1300000
